"","SurveyNumber","FieldNumber","qpcr_a","qpcr_b","qpcr_c","toeclip_extracted","swab_extracted","successful culture?","dayCaptured","monthCaptured","yearCaptured","Taxon","Site","SVL_mm","Mass_g","TissueTaken","Sex","Lifestage","Latitude","Longitude","Elevation_feet","Elevation_m","Locality","Site_name","Capture_time","Comments","picture","max_temp_daily","min_temp_daily","mean_temp_at_hour","mean_rel_humidity_at_hour","max_relative_humidity","min_relative_humidity","max_temp_monthly","min_temp_monthly","bay_area_only","other_permit","ZE_1","ZE_2","ZE_3"
"11",2,"1_Piru",0,0,0,"y","y","n",23,"May",2019,"Anaxyrus_boreas","Agua Blanca Creek","82","78","swab, toeclip","male","adult",34.53944,-118.76139,1110,338.3,"creek","agua_blanca_creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"12",2,"2_Piru",0,0,0,NA,"y","n",23,"May",2019,"Anaxyrus_californicus","Agua Blanca Creek","57.5","31","swab","female","adult",34.53944,-118.76139,1110,338.3,"creek","agua_blanca_creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"13",2,"3_Piru",3.129616737,3.761855,3.134771585,"y","y","n",23,"May",2019,"Pseudacris_regilla","Agua Blanca Creek",NA,"8","swab, toeclip","male","adult",34.53944,-118.76139,1110,338.3,"creek","agua_blanca_creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"250.369339","300.9484",250.7817268
"14",2,"4_Piru",0,0,0,NA,"y","n",23,"May",2019,"Anaxyrus_californicus","Agua Blanca Creek","44.5","5","swab",NA,"juvenile",34.53944,-118.76139,1110,338.3,"creek","agua_blanca_creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"15",2,"5_Piru",0.976721942,NA,NA,NA,"y","n",23,"May",2019,"Anaxyrus_californicus","Agua Blanca Creek","65","37","swab","male","adult",34.53944,-118.76139,1110,338.3,"creek","agua_blanca_creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"78.13775539","0",0
"16",2,"6_Piru",0,0,0,NA,"y","n",23,"May",2019,"Anaxyrus_californicus","Agua Blanca Creek","67","40","swab","male","adult",34.53944,-118.76139,1110,338.3,"creek","agua_blanca_creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"17",2,"7_Piru",NA,NA,NA,NA,"y","n",23,"May",2019,"Anaxyrus_californicus","Agua Blanca Creek","65","55","swab","female","adult",34.53944,-118.76139,1110,338.3,"creek","agua_blanca_creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"#VALUE!","0",0
"18",2,"8_Piru",0.136326611,NA,NA,"y","y","n",23,"May",2019,"Anaxyrus_boreas","Agua Blanca Creek","93","87","swab, toeclip","female","adult",34.51083,-118.76056,1110,338.3,"creek","agua_blanca_creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"10.90612888","0",0
"19",2,"9_Piru",0,0,0,"y","y","n",23,"May",2019,"Anaxyrus_boreas","Agua Blanca Creek","94",">100","swab, toeclip","female","adult",34.51083,-118.76056,1110,338.3,"creek","agua_blanca_creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"20",2,"10_Piru",0,0,0,"y - was mislabelled as 12","y mislabelled as 12","n",23,"May",2019,"Anaxyrus_boreas","Agua Blanca Creek","72","51","swab, toeclip","male","adult",34.47444,-118.76472,1200,365.8,"creek","agua_blanca_creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"21",2,"11_Piru",0,0,NA,"y","y","n",23,"May",2019,"Anaxyrus_boreas","Agua Blanca Creek","90",">100","swab, toeclip","male","adult",34.47472,-118.76472,1040,317,"creek","agua_blanca_creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"22",2,"12_Piru",0,0,0,"n","y mislabelled as 12","n",23,"May",2019,"Anaxyrus_boreas","Agua Blanca Creek","86","83.5","swab, toeclip","female","adult",34.47444,-118.76472,1090,332.2,"creek","agua_blanca_creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"23",2,"13_Piru",0.733014405,0.757163942,0.684459269,"n","y","n",23,"May",2019,"Anaxyrus_boreas","Agua Blanca Creek","79","74","swab, toeclip","female","adult",34.47444,-118.76472,1090,332.2,"creek","agua_blanca_creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"58.64115238","60.57311535",54.75674152
"24",3,"IDR14",0,0,0,"y","y","n",19,"June",2019,"Pseudacris_regilla","Sedgwick","33","2.5","swab, toeclip, culture","male","adult",34.69293,-120.04261,1095,333.8,"trough","trough_near_picnic_area","20_35",NA,"9_iphone",26.8,10.8,18.7,72,96,49,38.1,6.4,0,NA,"0","0",0
"25",3,"IDR15",0,0,0,"y","y","n",19,"June",2019,"Pseudacris_regilla","Sedgwick","32","2.5","swab, toeclip, culture","male","adult",34.69293,-120.04261,1095,333.8,"trough","trough_near_picnic_area","20_35","yellow","8_iphone",26.8,10.8,18.7,72,96,49,38.1,6.4,0,NA,"0","0",0
"26",3,"IDR16",0.03707476,0.079875067,0.022782031,"y","y","n",19,"June",2019,"Pseudacris_regilla","Sedgwick","31.5","3","swab, toeclip, culture","male","adult",34.69293,-120.04261,1095,333.8,"trough","trough_near_picnic_area","20_35",NA,"5_iphone",26.8,10.8,18.7,72,96,49,38.1,6.4,0,NA,"2.965980768","6.39000535",1.822562516
"27",3,"IDR17",NA,NA,NA,"n","n","n",19,"June",2019,"too_small","Sedgwick",NA,NA,NA,NA,NA,34.69305,-120.04276,1097,334.4,"trough","trough_behind_kates_house","20_50","released, too small",NA,26.8,10.8,18.7,72,96,49,38.1,6.4,0,NA,"0","0",0
"28",3,"IDR18",0.030813232,0,0,"y","y","n",19,"June",2019,"Anaxyrus_boreas","Sedgwick","83",">100","swab, toeclip, culture","male","adult",34.69305,-120.04276,1097,0,"fountain","fountain_behind_Kate's_house","20_50",NA,"4_iphone",26.8,10.8,18.7,72,96,49,38.1,6.4,0,NA,"2.465058565","0",0
"29",3,"IDR19",NA,NA,NA,"n","n","n",19,"June",2019,"too_small","Sedgwick",NA,NA,NA,NA,NA,34.69328,-120.03929,1086,331,"manmade_ponds","ponds_behind_white_house","21_24","released, too small",NA,26.8,10.8,16.8,78,96,49,38.1,6.4,0,NA,"0","0",0
"30",3,"IDR20",NA,NA,NA,"n","n","n",19,"June",2019,"too_small","Sedgwick",NA,NA,NA,NA,NA,34.69331,-120.03902,1082,329.8,"manmade_ponds","ponds_behind_white_house","21_26","released, too small",NA,26.8,10.8,16.8,78,96,49,38.1,6.4,0,NA,"0","0",0
"31",3,"IDR21",NA,NA,NA,"n","n","n",19,"June",2019,"too_small","Sedgwick",NA,NA,NA,NA,NA,34.69331,-120.03902,1082,329.8,"manmade_ponds","ponds_behind_white_house","21_27","released, too small",NA,26.8,10.8,16.8,78,96,49,38.1,6.4,0,NA,"0","0",0
"32",3,"IDR22",0.343108565,0.567831933,0.235201746,"y","y","n",19,"June",2019,"Pseudacris_regilla","Sedgwick","32.5","2","swab, toeclip, culture","male","adult",34.69331,-120.03914,1079,328.9,"manmade_ponds","ponds_behind_white_house","21_34",NA,"1_iphone",26.8,10.8,16.8,78,96,49,38.1,6.4,0,NA,"27.44868517","45.42655468",18.8161397
"33",3,"IDR23",0.141213238,0.23871623,0.068796,"y","y","n",19,"June",2019,"Anaxyrus_boreas","Sedgwick","78","60.5","swab, toeclip, culture","male","adult",34.69332,-120.03903,1076,328,"manmade_ponds","ponds_behind_white_house","21_36",NA,"2_iphone",26.8,10.8,16.8,78,96,49,38.1,6.4,0,NA,"11.29705906","19.09729838",5.50368
"34",3,"IDR24",0,0,0,"y","y","n",19,"June",2019,"Anaxyrus_boreas","Sedgwick","101",">100","swab, toeclip, culture","male","adult",34.69339,-120.0391,1078,328.6,"manmade_ponds","ponds_behind_white_house","21_40",NA,"6_iphone",26.8,10.8,16.8,78,96,49,38.1,6.4,0,NA,"0","0",0
"35",3,"IDR25",0.196599156,0.013161424,0.195885792,"y","y","n",19,"June",2019,"Pseudacris_regilla","Sedgwick","29","7","swab, toeclip","male","adult",34.69333,120.0391,1079,328.9,"manmade_ponds","ponds_behind_white_house","21_41",NA,"10_iphone",26.8,10.8,16.8,78,96,49,38.1,6.4,0,NA,"15.72793246","1.05291389",15.67086339
"36",3,"IDR26",1.127920628,0.201583356,2.082890511,"y","y","n",19,"June",2019,"Anaxyrus_boreas","Sedgwick","93",">100","swab, toeclip, culture","male","adult",34.69344,-120.03921,1076,328,"manmade_ponds","ponds_behind_white_house","21_48",NA,"7_iphone",26.8,10.8,16.8,78,96,49,38.1,6.4,0,NA,"90.23365024","16.12666846",166.6312409
"37",3,"IDR27",NA,NA,NA,"n","n","n",19,"June",2019,"too_small","Sedgwick",NA,NA,NA,NA,NA,34.69333,-120.03913,1077,328.3,"manmade_ponds","ponds_behind_white_house","21_48","released, too small",NA,26.8,10.8,16.8,78,96,49,38.1,6.4,0,NA,"0","0",0
"38",3,"IDR28",0,0,0,"y","y","n",19,"June",2019,"Pseudacris_regilla","Sedgwick","43","6.5","swab, toeclip, culture","female","adult",34.6934,-120.0391,1079,328.9,"manmade_ponds","ponds_behind_white_house","21_51",NA,"3_iphone",26.8,10.8,16.8,78,96,49,38.1,6.4,0,NA,"0","0",0
"39",3,"IDR29",NA,NA,NA,"n","n","n",19,"June",2019,"too_small","Sedgwick",NA,NA,NA,NA,NA,34.69333,-120.03914,1079,328.9,"manmade_ponds","ponds_behind_white_house","21_53","released, too small",NA,26.8,10.8,16.8,78,96,49,38.1,6.4,0,NA,"0","0",0
"40",4,"IDR30",0,0,0,"y","y","n",20,"June",2019,"Anaxyrus_boreas","Sedgwick","25","0.5","swab, toeclip, culture",NA,"juvenile",34.69466,-120.04181,1135,345.9,"dirt_road","road_by_pond","20_39",NA,"DCM876, DCM877",24.2,11.5,16.1,82,99,54,38.1,6.4,0,NA,"0","0",0
"41",4,"IDR31",0,0,0,"y","y","n",20,"June",2019,"Anaxyrus_boreas","Sedgwick","21.5","0.5","swab, toeclip, culture",NA,"juvenile",34.69459,-120.04173,1132,345,"dirt_road","road_by_pond","20_43",NA,"DCM874, DCM875",24.2,11.5,16.1,82,99,54,38.1,6.4,0,NA,"0","0",0
"42",4,"IDR32",0,0,0,"y","y","n",20,"June",2019,"Anaxyrus_boreas","Sedgwick","24.5","1.5","swab, toeclip, culture",NA,"juvenile",34.69448,-120.04165,1129,344.1,"dirt_road","road_by_pond","20_45",NA,"DCM878, DCM879, DCM880",24.2,11.5,16.1,82,99,54,38.1,6.4,0,NA,"0","0",0
"43",4,"IDR33",0,0,0,"y","y","n",20,"June",2019,"Anaxyrus_boreas","Sedgwick","105",">100","swab, toeclip, culture",NA,"adult",34.6944,-120.04154,1106,337.1,"dirt_road","road_by_pond","21_40",NA,"DCM907, DCM908, DCM909, DCM910, DCM911, DCM912",24.2,11.5,15.3,86,99,54,38.1,6.4,0,NA,"0","0",0
"44",4,"IDR34",0.018141121,0,0,"y","y","n",20,"June",2019,"Anaxyrus_boreas","Sedgwick","29.5","3","swab, toeclip, culture",NA,"juvenile",34.6944,-120.04154,1106,337.1,"dirt_road","road_by_pond","21_42",NA,"DCM881-887",24.2,11.5,15.3,86,99,54,38.1,6.4,0,NA,"1.451289654","0",0
"45",4,"IDR35",0,0,0,"y","y","n",20,"June",2019,"Anaxyrus_boreas","Sedgwick","28","2","swab, toeclip, culture",NA,"juvenile",34.69502,-120.04206,1112,338.9,"dirt_road","road_by_pond","21_49",NA,"DCM899-901, DCM906",24.2,11.5,15.3,86,99,54,38.1,6.4,0,NA,"0","0",0
"46",4,"IDR36",0,0,0,"y","y","n",20,"June",2019,"Anaxyrus_boreas","Sedgwick","97.5",">100","swab, toeclip, culture",NA,"adult",34.69261,-120.04106,1087,331.3,"dirt_road","road_near_tipton_house","23_06",NA,"DCM913-917",24.2,11.5,14.5,93,99,54,38.1,6.4,0,NA,"0","0",0
"47",4,"IDR37",0,0,0,"n","y","n",20,"June",2019,"Anaxyrus_boreas","Sedgwick","89",">100","swab, toeclip, culture","male","adult",34.68976,-120.04496,1136,346.3,"dirt_road","hill_road_near_marker","23_50",NA,"DCM922-924",24.2,11.5,14.5,93,99,54,38.1,6.4,0,NA,"0","0",0
"48",4,"IDR38",0,0,0,"y","y","n",20,"June",2019,"Anaxyrus_boreas","Sedgwick","24","71","swab, toeclip, culture",NA,"juvenile",34.68911,-120.04565,1225,373.4,"trough","trough_by_trail_marker_511","24_01",NA,"DCM25",24.2,11.5,14.3,95,99,54,38.1,6.4,0,NA,"0","0",0
"49",4,"IDR39",0,0,0,"y","y","n",20,"June",2019,"Anaxyrus_boreas","Sedgwick","92",">100","swab, toeclip, culture","male","adult",34.68911,-120.04565,1225,373.4,"trough","trough_by_trail_marker_511","24_01",NA,"DCM920-921",24.2,11.5,16.1,82,99,54,38.1,6.4,0,NA,"0","0",0
"50",5,"IDR40",0,0,0,"y","y","n",21,"June",2019,"Anaxyrus_boreas","Sedgwick","87.5",">100","swab, toeclip, culture","female","adult",34.69194,-120.04058,1076,328,"dirt_road","road_near_parking_lot","21_43",NA,"DCM936-DCM939",23.2,8.7,14.3,83,97,56,38.1,6.4,0,NA,"0","0",0
"51",5,"IDR41",0,0,0,"y","y","n",21,"June",2019,"Pseudacris_regilla","Sedgwick","30","2.5","swab, toeclip",NA,"adult",34.6921,-120.04089,1071,326.4,"grass","near_trough_in_picnic_area","21_47","missing right leg","DCM930-DCM935",23.2,8.7,14.3,83,97,56,38.1,6.4,0,NA,"0","0",0
"52",5,"IDR42",0.464239836,0.314973563,0.740882814,"y","y","n",21,"June",2019,"Pseudacris_regilla","Sedgwick","16","0.5","swab, toeclip",NA,"juvenile",34.69336,-120.03912,1092,332.8,"pond","ponds_behind_white_house","22_42",NA,"DCM964",23.2,8.7,12.1,88,97,56,38.1,6.4,0,NA,"37.13918686","25.19788504",59.27062511
"53",5,"IDR43",0.040218476,0.0105961,0.048564278,"y","y","n",21,"June",2019,"Pseudacris_regilla","Sedgwick","32","4","swab, toeclip","male","adult",34.69336,-120.03912,1092,332.8,"pond","ponds_behind_white_house","22_51","calling","DCM959-DCM963",23.2,8.7,12.1,88,97,56,38.1,6.4,0,NA,"3.217478097","0.847688019",3.885142207
"54",6,"IDR44",0.031769168,0.004395436,0,"y","y","n",25,"June",2019,"Anaxyrus_boreas","Merced Vernal Pools","33",NA,"swab, toeclip, culture",NA,"juvenile",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","20_14","too windy for mass","DCM1080-1081",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"2.541533411","0.351634845",0
"55",6,"IDR45",0,0,0,"y","y","n",25,"June",2019,"Pseudacris_sierra","Merced Vernal Pools","22",NA,"swab, toeclip",NA,"adult",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","20_14","too windy for mass","DCM1100",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"56",6,"IDR46",0,0,0,"y","y","n",25,"June",2019,"Pseudacris_sierra","Merced Vernal Pools","26",NA,"swab, toeclip, culture","female","adult",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","20_16","too windy for mass","DCM1073-1074",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"57",6,"IDR47",0,0,0,"y","y","n",25,"June",2019,"Pseudacris_sierra","Merced Vernal Pools","24",NA,"swab, toeclip",NA,"adult",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","20_19","too windy for mass","DCM1098-1099",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"58",6,"IDR48",0,0,0,"y","y","n",25,"June",2019,"Pseudacris_sierra","Merced Vernal Pools","21",NA,"swab, toeclip, culture",NA,"adult",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","20_22","too windy for mass","DCM1092",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"59",6,"IDR49",0,0,0,"y","y","n",25,"June",2019,"Anaxyrus_boreas","Merced Vernal Pools","27",NA,"swab, toeclip, culture",NA,"juvenile",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","20_23","too windy for mass","DCM1094-1095",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"60",6,"IDR50",0,0,0,"y","y","n",25,"June",2019,"Pseudacris_sierra","Merced Vernal Pools","24",NA,"swab, toeclip",NA,"adult",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","20_24","too windy for mass","DCM1085-1086",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"61",6,"IDR51",0,0,0,"y","y","n",25,"June",2019,"Pseudacris_sierra","Merced Vernal Pools","22",NA,"swab, toeclip, culture",NA,"adult",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","20_24","too windy for mass","DCM1088-1089",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"62",6,"IDR52",0,0,0,"y","y","n",25,"June",2019,"Pseudacris_sierra","Merced Vernal Pools","22.5",NA,"swab, toeclip, culture",NA,"adult",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","20_24","too windy for mass","DCM1071-1072",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"63",6,"IDR53",0,0,0,"y","y","n",25,"June",2019,"Anaxyrus_boreas","Merced Vernal Pools","27",NA,"swab, toeclip, culture",NA,"juvenile",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","20_27","gray on face, too windy for mass","DCM1082-1084",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"64",6,"IDR54",0,0,0,"y","y","n",25,"June",2019,"Anaxyrus_boreas","Merced Vernal Pools","29",NA,"swab, toeclip, culture",NA,"juvenile",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","20_27","too windy for mass","DCM1069-1070",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"65",6,"IDR55",0,0,0,"y","y","n",25,"June",2019,"Anaxyrus_boreas","Merced Vernal Pools","26.5",NA,"swab, toeclip, culture",NA,"juvenile",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","20_30","dead, too windy for mass, 0 signs of chytridiomycosis","DCM1101-1103",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"66",6,"IDR56",0,0,0,"y","y","n",25,"June",2019,"Anaxyrus_boreas","Merced Vernal Pools","34",NA,"swab, toeclip, culture",NA,"juvenile",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","20_31","too windy for mass","DCM1093",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"67",6,"IDR57",0,0,0,"y","y","n",25,"June",2019,"Anaxyrus_boreas","Merced Vernal Pools","33",NA,"swab, toeclip",NA,"juvenile",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","20_32","too windy for mass","DCM1090-1091",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"68",6,"IDR58",0,0,0,"y","y","n",25,"June",2019,"Anaxyrus_boreas","Merced Vernal Pools","30",NA,"swab, toeclip, culture",NA,"juvenile",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","20_36","too windy for mass","DCM1065-1079",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"69",6,"IDR59",0,0,0,"y","y","n",25,"June",2019,"Pseudacris_sierra","Merced Vernal Pools","25",NA,"swab, toeclip",NA,"adult",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","23_12","too windy for mass","DCM1122-1144",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"70",6,"IDR60",0,0,0,"y","y","n",25,"June",2019,"Pseudacris_sierra","Merced Vernal Pools","26.5",NA,"swab, toeclip",NA,"adult",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","23_12","too windy for mass","DCM1130-1133",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"71",6,"IDR61",0,0,0,"y","y","n",25,"June",2019,"Pseudacris_sierra","Merced Vernal Pools","23",NA,"swab, toeclip",NA,"adult",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","23_21","too windy for mass","DCM1115-1121",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"72",6,"IDR62",0,0,0,"y","y","n",25,"June",2019,"Anaxyrus_boreas","Merced Vernal Pools","23",NA,"swab, toeclip, culture",NA,"juvenile",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","23_21","too windy for mass","DCM1125-1127",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"73",6,"IDR63",0,0,0,"y","y","n",25,"June",2019,"Anaxyrus_boreas","Merced Vernal Pools","29",NA,"swab, toeclip, culture",NA,"juvenile",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","23_27","too windy for mass","DCM1122-1124",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"74",6,"IDR64",0,0,0,"y","y","n",25,"June",2019,"Pseudacris_sierra","Merced Vernal Pools","23",NA,"swab, toeclip",NA,"adult",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","23_28","too windy for mass","DCM1128-1129",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"75",6,"IDR65",0,0,0,"y","y","n",25,"June",2019,"Anaxyrus_boreas","Merced Vernal Pools","27",NA,"swab, toeclip",NA,"juvenile",37.39651,-120.35545,273,83.2,"pond","rascal_creek_pond_1","23_30","too windy for mass","DCM1109-1111",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"76",7,"IDR66",0,0,0,"y","y","n",26,"June",2019,"Anaxyrus_boreas","Merced Vernal Pools","26",NA,"swab, toeclip",NA,"juvenile",37.39667,-120.3559,270,82.3,"pond","rascal_creek_pond_2","20_19","too windy for mass","DSC1247-1247",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"77",7,"IDR67",0,0,0,"y","y","n",26,"June",2019,"Anaxyrus_boreas","Merced Vernal Pools","26",NA,"swab, toeclip",NA,"juvenile",37.39667,-120.3559,270,82.3,"pond","rascal_creek_pond_2","20_20","too windy for mass","DSC1232-1233",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"78",7,"IDR68",0.041698057,0,0,"y","y","n",26,"June",2019,"Anaxyrus_boreas","Merced Vernal Pools","26",NA,"swab, toeclip, culture",NA,"juvenile",37.39667,-120.3559,270,82.3,"pond","rascal_creek_pond_2","20_21","too windy for mass","DSC1216-1217",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"3.335844576","0",0
"79",7,"IDR69",0,0,0,"y","y","n",26,"June",2019,"Pseudacris_sierra","Merced Vernal Pools","23",NA,"swab, toeclip",NA,"adult",37.39667,-120.3559,270,82.3,"pond","rascal_creek_pond_2","20_24","too windy for mass","DSC1189-1198",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"80",7,"IDR70",0,0,0,"y","y","n",26,"June",2019,"Anaxyrus_boreas","Merced Vernal Pools","30",NA,"swab, toeclip",NA,"juvenile",37.39667,-120.3559,270,82.3,"pond","rascal_creek_pond_2","20_27","too windy for mass","DSC1121-1214",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
"81",7,"IDR71",0,0,0,"y","y","n",26,"June",2019,"Anaxyrus_boreas","Merced Vernal Pools","28",NA,"swab, toeclip, culture",NA,"juvenile",37.39667,-120.3559,270,82.3,"pond","rascal_creek_pond_2","20_27","too windy for mass","DSC1141",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"0","0",0
