"web_x","web_y","Locality","An.coluzzii","An.gambiae","Total","elevation"
1265289.03576711,422041.254288584,"Okoa",0,11,11,735.554204341758
1267515.56941974,447706.587194072,"Okola",0,5,5,628.860948674123
1278648.86564277,433199.28612016,"Oliga",0,3,3,808.806689198898
1299802.03827218,426504.436370672,"Omvan",0,9,9,721.834710045476
1258609.05905472,430967.498209955,"Ossonkia",0,5,5,686.419888348962
1259722.48132018,407537.790215632,"Ototomo",0,3,3,724.098542039538
1264175.75495037,412000.178205312,"Oveng",0,11,11,724.727892937019
1269742.19547983,452170.859561953,"Oyama",0,10,10,609.230190445295
1269742.28010183,433199.24678563,"Ozom 2",0,4,4,772.110776313409
1289782.05955132,442126.667626621,"Soa",0,7,7,657.670238719846
1269742.39336131,406422.270759386,"Zoassel 2",0,2,2,708.376344764148
